record_id,airport_name,altitude_bin,aircraft_model,wildlife_number_struck_actual,effect_impact_to_flight,flight_date,effect_indicated_damage,aircraft_airline,origin_state,phase_of_flight,conditions_precipitation,conditions_sky,wildlife_species,pilot_warned_of_wildlife,total_cost,feet_above_ground
202152,LAGUARDIA NY,> 1000 ft,B-737-400,32,Engine Shut Down,2000-11-23,Caused damage,US AIRWAYS,New York,Climb,none,No Cloud,Unknown bird - medium,N,30736,1500.0
208159,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-80,32,none,2001-07-25,Caused damage,AMERICAN AIRLINES,Texas,Landing Roll,none,Some Cloud,Rock pigeon,Y,0,0.0
207601,LAKEFRONT AIRPORT,< 1000 ft,C-500,32,none,2001-09-14,No damage,BUSINESS,Louisiana,Approach,none,No Cloud,European starling,N,0,50.0
215953,SEATTLE-TACOMA INTL,< 1000 ft,B-737-400,32,Precautionary Landing,2002-09-05,No damage,ALASKA AIRLINES,Washington,Climb,none,Some Cloud,European starling,Y,0,50.0
219878,NORFOLK INTL,< 1000 ft,CL-RJ100/200,32,none,2003-06-23,No damage,COMAIR AIRLINES,Virginia,Approach,none,No Cloud,European starling,N,0,50.0
218432,GUAYAQUIL/S BOLIVAR,< 1000 ft,A-300,32,none,2003-07-24,No damage,AMERICAN AIRLINES,California,Take-off run,none,No Cloud,Unknown bird - small,N,0,0.0
221697,NEW CASTLE COUNTY,< 1000 ft,LEARJET-25,32,Other,2003-08-17,Caused damage,BUSINESS,Delaware,Climb,none,No Cloud,European starling,N,1481711,150.0
236635,WASHINGTON DULLES INTL ARPT,< 1000 ft,A-320,32,Other,2006-03-01,Caused damage,UNITED AIRLINES,DC,Approach,none,Some Cloud,European starling,Y,1483141,100.0
207369,ATLANTA INTL,< 1000 ft,DC-9-30,9,Aborted Take-off,2000-01-06,No damage,AIRTRAN AIRWAYS,Georgia,Take-off run,none,Some Cloud,Rock pigeon,N,0,0.0
204371,ORLANDO SANFORD INTL AIRPORT,< 1000 ft,A-330,4,none,2000-01-07,No damage,AIRTOURS INTL,Florida,Landing Roll,none,Some Cloud,Unknown bird - small,N,0,0.0
201589,ONTARIO INTL ARPT,< 1000 ft,A-320,3,none,2000-01-08,No damage,AMERICA WEST AIRLINES,California,Approach,none,Some Cloud,Rock pigeon,N,0,200.0
205958,CHICAGO O'HARE INTL ARPT,> 1000 ft,FOKKER F100,9,none,2000-01-20,Caused damage,AMERICAN AIRLINES,Illinois,Approach,none,No Cloud,Canada goose,N,0,1700.0
200220,GROTON-NEW LONDON AR,< 1000 ft,C-421,2,none,2000-01-30,No damage,BUSINESS,Connecticut,Landing Roll,none,Overcast,Unknown bird - small,N,0,0.0
200219,SPIRIT OF ST LOUIS,> 1000 ft,C-560,2,none,2000-01-30,No damage,EXECUTIVE JET AVIATION,Missouri,Approach,Snow,Overcast,Unknown bird - small,N,0,1800.0
203756,THEODORE FRANCIS GREEN STATE,< 1000 ft,B-737-200,5,none,2000-01-30,No damage,US AIRWAYS,Rhode Island,Approach,none,No Cloud,European starling,N,0,50.0
204061,KANSAS CITY INTL,< 1000 ft,MD-80,5,none,2000-02-01,No damage,TRANS WORLD AIRLINES,Missouri,Approach,none,Some Cloud,Snow goose,Y,0,500.0
202604,LIHUE ARPT,< 1000 ft,DC-9-50,9,none,2000-02-11,No damage,HAWAIIAN AIR,Hawaii,Take-off run,none,No Cloud,Black-headed munia,Y,0,0.0
201044,PHOENIX SKY HARBOR,< 1000 ft,B-737,9,none,2000-02-12,No damage,AMERICA WEST AIRLINES,Arizona,Landing Roll,none,Overcast,Rock pigeon,N,0,0.0
202254,NASHVILLE INTL,< 1000 ft,B-737-400,5,none,2000-02-18,No damage,US AIRWAYS,Tennessee,Climb,none,Some Cloud,European starling,N,0,800.0
205346,JIM HAMILTON L B OWENS ARPT,< 1000 ft,C-560,6,none,2000-02-23,Caused damage,BUSINESS,South Carolina,Climb,none,Some Cloud,Rock pigeon,N,0,500.0
201610,CHICAGO O'HARE INTL ARPT,> 1000 ft,B-737-300,7,none,2000-02-25,No damage,UNITED AIRLINES,Illinois,Climb,Fog,Overcast,Unknown bird - medium,N,0,5000.0
202454,WASHINGTON DULLES INTL ARPT,> 1000 ft,B-737-200,7,Precautionary Landing,2000-02-29,No damage,DELTA AIR LINES,DC,Climb,none,No Cloud,Ring-billed gull,Y,0,1500.0
201013,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,B-737-400,4,none,2000-02-29,No damage,AIR TRANSAT,Florida,Landing Roll,none,Some Cloud,Sandhill crane,Y,0,0.0
205771,ABERDEEN REGIONAL AR,> 1000 ft,SAAB-340,8,none,2000-03-04,No damage,MESABA AIRLINES,South Dakota,Climb,none,Some Cloud,Unknown bird - small,N,0,2000.0
202226,NEWARK LIBERTY INTL ARPT,< 1000 ft,MD-82,5,none,2000-03-06,No damage,CONTINENTAL AIRLINES,New Jersey,Landing Roll,none,No Cloud,Unknown bird - small,Y,0,0.0
204404,ASPEN-PITKIN CO/SARD,< 1000 ft,HAWKER 800,3,none,2000-03-06,No damage,EXECUTIVE JET AVIATION,Colorado,Approach,none,No Cloud,Unknown bird - small,N,8600,20.0
202138,ROCHESTER INTL,< 1000 ft,FOKKER F28 MK 1000,4,Precautionary Landing,2000-03-06,No damage,AMERICAN AIRLINES,Minnesota,Climb,none,No Cloud,Unknown bird - small,N,0,200.0
201983,MINNEAPOLIS-ST PAUL INTL,< 1000 ft,B-757-200,4,none,2000-03-07,No damage,NORTHWEST AIRLINES,Minnesota,Approach,Rain,Overcast,Unknown bird - small,N,0,75.0
200247,PUEBLO MEMORIAL ARPT,< 1000 ft,HAWKER 800,5,none,2000-03-11,No damage,BUSINESS,Colorado,Approach,none,No Cloud,Western meadowlark,N,0,10.0
